Model,Corruption,Severity,Accuracy,Avg_Confidence
resnet50,clean,1,95.04608294930875,0.8610655947240747
resnet50,blur,1,94.5852534562212,0.8599455036600614
resnet50,blur,2,94.87327188940093,0.8598899764785638
resnet50,blur,3,93.95161290322581,0.8550742890874636
resnet50,blur,4,92.85714285714286,0.8456759107500864
resnet50,blur,5,91.53225806451613,0.828305996799936
resnet50,noise,1,93.83640552995392,0.845713911020124
resnet50,noise,2,91.76267281105991,0.8318676233875312
resnet50,noise,3,89.0552995391705,0.8086678655388924
resnet50,noise,4,81.73963133640552,0.7448990786370868
resnet50,noise,5,66.01382488479263,0.6374755245397374
resnet50,rotation,1,94.18202764976958,0.8469622932151303
resnet50,rotation,2,93.08755760368663,0.8250523790554036
resnet50,rotation,3,90.66820276497695,0.8052618146105777
resnet50,rotation,4,89.0552995391705,0.7860118344872503
resnet50,rotation,5,86.29032258064517,0.778941419597904
